"","logFC","logCPM","PValue","FDR"
"YGR178C",-0.596294491801029,8.29917131640985,1.6171339633634e-09,2.60015806011447e-08
"YDR054C",-0.628397570701153,7.80327502450975,1.63936618130584e-09,2.62876143490153e-08
"YHR175W",-0.676771618738207,7.23883730963605,1.68703957341064e-09,2.69789544753263e-08
"YEL077C",-1.0157045394429,6.77076978056543,1.72739324105999e-09,2.75498269739944e-08
"YJL225C",-0.798837013662519,8.34468704985014,1.75179227372925e-09,2.7863857214129e-08
"YDR309C",-0.944063660790152,6.64479224891608,1.75769143412635e-09,2.78827351628033e-08
"YDR100W",-1.00350241304605,6.01390173644654,1.78416619172696e-09,2.82270357124289e-08
"YMR256C",-1.0142778449497,5.37099036466283,1.82528529213765e-09,2.88005681962093e-08
"YDR518W",-0.779502395878322,6.57158816070544,1.84352793597305e-09,2.9011049992427e-08
"YGR282C",-0.475662711853157,10.2634130367873,1.86352778480414e-09,2.92479944368332e-08
"YCR004C",-0.617580670050437,8.29774839384659,1.9131866579184e-09,2.98768592076723e-08
"YKR076W",-1.43892581139794,6.43167324101658,1.91369437885885e-09,2.98768592076723e-08
"YHR176W",-1.12124461612132,5.04683596463428,1.94554939526755e-09,3.02942520310477e-08
"YGL234W",1.02509019951301,8.77583725561507,2.00315469267515e-09,3.11093604109157e-08
"YBR052C",-0.681593570495388,8.00455873594534,2.01224263194123e-09,3.11686901916132e-08
"YCL048W",-2.4467340992055,3.36687162137307,2.01886411863729e-09,3.11896057179552e-08
"YNL024C",1.34117587341748,4.84827087148965,2.05409113098454e-09,3.16511906823842e-08
"YJR085C",-0.639646794475386,7.66578043483817,2.18323945809214e-09,3.35538386325485e-08
"YCL063W",-0.995908670137556,5.96029102552956,2.2160461208415e-09,3.39698054326921e-08
"YDL169C",-1.29738154428584,5.15103423731486,2.23140244982804e-09,3.40816903441863e-08
"YHR199C",-0.71858211163933,7.3777653210998,2.23486494060238e-09,3.40816903441863e-08
"YGL156W",-1.03671635984296,6.02138800563752,2.33346138312114e-09,3.54938072080406e-08
"YDR134C",0.776179357625806,9.43962969217368,2.35755615767957e-09,3.56849129452844e-08
"YPR098C",-0.975752945229589,5.70804823139262,2.35808703086128e-09,3.56849129452844e-08
"YOL156W",-1.09898337746297,5.18558250545212,2.70101079671773e-09,4.07701042963744e-08
"YLR056W",0.693733468051152,8.70716818482656,3.02198059307109e-09,4.54988782931339e-08
"YKR058W",0.797308400699028,7.24646666653471,3.03179796291524e-09,4.55308338745419e-08
"YER047C",-0.883305714295237,6.42645920361198,3.04956242887106e-09,4.56816731433673e-08
"YDR528W",-1.52552128220221,4.26267333861723,3.09333453308244e-09,4.62203546268909e-08
"YDR034C-A",0.61167050474031,8.04587405928621,3.10245742505805e-09,4.62399007155377e-08
"YBR269C",-0.837094080161465,6.11697984479004,3.25767068565395e-09,4.84312498668703e-08
"YNL141W",1.14697800221157,6.22772564920445,3.28534609447993e-09,4.87202828096185e-08
"YGR044C",0.862276232201209,5.79547926094032,3.50583554436503e-09,5.18600722900197e-08
"YML055W",-1.26260303369517,5.64426435793515,3.63640698592058e-09,5.36574068221748e-08
"YOL086W-A",-1.07190945222116,5.37766035640193,3.67342492648862e-09,5.40687942538138e-08
"YOL143C",0.615983601279506,8.30444297990389,3.73494415513369e-09,5.48378773348041e-08
"YBR162W-A",-0.831299209957154,6.46503471330312,3.77151918678656e-09,5.52378193767725e-08
"YBR023C",-0.707357137490213,7.51831089299901,4.00640819546293e-09,5.85331291174177e-08
"YKR097W",-1.47512030986136,4.42247862581613,4.03508351731113e-09,5.88068698816009e-08
"YOL084W",-1.57943202027318,4.21114913311153,4.140254947313e-09,6.00843835848218e-08
"YIL014W",-0.837372006279292,6.51132864485355,4.14305027929817e-09,6.00843835848218e-08
"YEL034W",0.484750260060602,10.0609374156397,4.1798854083104e-09,6.04703715427204e-08
"YJR058C",-0.851276269730244,6.24275727906897,4.39913760051503e-09,6.34870662981645e-08
"YCR026C",-0.793792112365546,6.6054692157061,4.5152290925141e-09,6.50039185897955e-08
"YGL219C",-0.709049525056165,6.75931451683064,4.63744575327465e-09,6.66013750537041e-08
"YMR029C",-0.789162688065135,6.39693066662003,4.67695323359158e-09,6.70061314362261e-08
"YIL024C",-1.3303755495728,4.57921911288915,4.91928388453411e-09,7.03077360985225e-08
"YJL055W",-0.625947849226782,7.8353896311173,4.96780737260353e-09,7.08301595751688e-08
"YNL279W",-1.51343894123644,4.62023876416894,5.13742275795965e-09,7.30724289876136e-08
"YDR032C",-0.75432974798232,8.47185446286944,5.78322265275008e-09,8.2060739655449e-08
"YHR028C",-0.608449848427534,7.65972358850087,6.02396840357977e-09,8.52722991482811e-08
"YDL004W",-0.715355042743309,7.02715091569798,6.12727122959044e-09,8.65270871655061e-08
